benchmark,basic-only-intraproc (s),CI-intraproc (s),CIPP-intraproc (s),1-object-sens-intraproc (s),basic-only-interproc (s),CI-interproc (s),CIPP-interproc (s),1-object-sens-interproc (s)
bootique,21.2622345273,19.926219863049997,19.506616246689997,18.54499851442,26.435386800354998,24.897611602735,25.49918116264,19.44260898054
commons-collections4,15.386806589630002,14.198768836030002,14.477876400389999,13.389043597525,17.798705330764996,16.643699735124997,16.81783140303,15.614553245075001
flink-core,29.868559255430007,27.205184648904996,27.78166043429,21.171467813009997,68.258472153495,62.12246261902,63.94093118784999,54.10533348399499
jsonschema2pojo,31.724596126475,29.327935762374995,30.720337509665,29.34528036283,39.76446683772,41.04836940213501,35.36533517367,37.28989799995
maven-core,20.400544997235,19.490805306755,16.08854108477,15.71691517916,26.412018389420002,23.41865018723,22.155283429264998,19.618216864985
microbenchmark,13.199863834155,11.729038283645,11.610483638335001,12.227615987025,13.764114657804999,12.919207349870002,13.015507801564999,12.298792520780001
mybatis,83.294477161775,59.83288039381,59.755637420795,46.163828509435,113.38170915712502,192.161004437815,181.919400185235,68.198804651655
quartz-core,21.946841179250008,21.05786454851,18.881986808965003,17.220350355395,23.492804981339997,21.918447886320003,21.97257203827,19.803709587875
vraptor,49.270024407525,34.95726578771,36.48735986894,35.76955986043,70.91628555976,149.37710972463,148.35009923529,138.42277652850004
